,003ba30e1374a6ea2cfed3594df32399,"market for hazardous waste, for incineration",Europe without Switzerland,-7.10493e-05,kilogram,cutoff38,f16ebe0cf00906d23646f15369313fe6,"treatment of low level radioactive waste, plasma torch incineration",CH,-0.09,cubic meter
354,38b085f2b8d131598d6b21c6091da753,"market for hazardous waste, for incineration",RoW,-0.0021547,kilogram,cutoff38,,,,,
355,38ba2005c67373da6e508111a5389fda,"treatment of waste graphical paper, municipal incineration with fly ash extraction",CH,-0.0155,kilogram,cutoff38,,,,,
356,390354a8acb0f28c303eaa301af59f6d,"market for hazardous waste, for incineration",CH,-2.01495648941358e-06,kilogram,cutoff38,,,,,
357,390354a8acb0f28c303eaa301af59f6d,"market for hazardous waste, for incineration",Europe without Switzerland,-7.70850435105864e-05,kilogram,cutoff38,,,,,
358,3912b66f4a7c5bf43df3014d710d09ba,"market for hazardous waste, for incineration",Europe without Switzerland,-8.38389395879591e-05,kilogram,cutoff38,,,,,
359,3912b66f4a7c5bf43df3014d710d09ba,"market for hazardous waste, for incineration",CH,-2.19149925452285e-06,kilogram,cutoff38,,,,,
360,3a1f2fee47e7c402332d2df84b66d660,"treatment of waste paperboard, municipal incineration",RoW,-0.441076934646913,kilogram,cutoff38,,,,,
361,3a9892f3d0166ac7dcbcba0d18ea44bb,"market for hazardous waste, for incineration",RoW,-0.000279621536047,kilogram,cutoff38,,,,,
362,3abe8f6bf1281e0567e03d23d0ac3288,"market for hazardous waste, for incineration",Europe without Switzerland,-9.7e-07,kilogram,cutoff38,,,,,
363,3afe76fc391f65e8b774cf58883cd3c4,"treatment of waste polyethylene terephthalate, municipal incineration",RoW,-0.648037776664191,kilogram,cutoff38,,,,,
364,3b02466305df145d5d547a5d47be0b94,"treatment of waste wood, untreated, municipal incineration",RoW,-0.667753859534681,kilogram,cutoff38,,,,,
365,3b2e2b11cf778d2c74f67b46f93604e2,"market for hazardous waste, for incineration",RoW,-0.0020362,kilogram,cutoff38,,,,,
366,3ba6b191478cfae806c946de21b2fe75,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0238758984324825,kilogram,cutoff38,,,,,
367,3ba6b191478cfae806c946de21b2fe75,"market for hazardous waste, for incineration",CH,-0.0006241015675174,kilogram,cutoff38,,,,,
368,3bd42c62f07dd5e53cf154ab6ef6b800,"market for hazardous waste, for incineration",Europe without Switzerland,-0.016,kilogram,cutoff38,,,,,
369,3c51e021086eed16abd6495155992437,"treatment of waste plastic, mixture, municipal incineration",RoW,-0.427746565109878,kilogram,cutoff38,,,,,
370,3cd4d9dadb53bd9e23c8f5e70c5b7eb3,"market for hazardous waste, for incineration",RoW,-2.36373748609566e-06,kilogram,cutoff38,,,,,
371,3cf3d8ad34ec7dbda00a4ecebd926cf2,"treatment of waste glass, municipal incineration",RoW,-0.667753859534681,kilogram,cutoff38,,,,,
372,3cf7041f639bf3b29e5771795ae1f12b,"treatment of waste graphical paper, municipal incineration with fly ash extraction",CH,-0.0155,kilogram,cutoff38,,,,,
373,3d2a02f722da9d99abed0dd88302eb31,"market for hazardous waste, for incineration",RoW,-0.0060231663133334,kilogram,cutoff38,,,,,
374,3d65c597ff4c01e88bb5967a6bab027a,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0250745659864398,kilogram,cutoff38,,,,,
375,3d65c597ff4c01e88bb5967a6bab027a,"market for hazardous waste, for incineration",CH,-0.0006554340135601,kilogram,cutoff38,,,,,
376,3de9f48490e0be0ce56b1e18e13eea60,"market for hazardous waste, for incineration",CH,-0.0001986285677799,kilogram,cutoff38,,,,,
377,3de9f48490e0be0ce56b1e18e13eea60,"market for hazardous waste, for incineration",RoW,-0.0158013714322201,kilogram,cutoff38,,,,,
378,3df09fa17d74f1806d883d9f84bc2ee9,"treatment of waste graphical paper, municipal incineration with fly ash extraction",CH,-0.0155,kilogram,cutoff38,,,,,
379,3e6e6c2146cd9b0270b58ac8aa2322d5,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
380,3eb39d936104dcf243c8047ff7c4fbff,"market for hazardous waste, for incineration",CH,-4.15e-06,kilogram,cutoff38,,,,,
381,3eca70890687f3be33758d2e420b20f3,"market for hazardous waste, for incineration",RoW,-8.953e-05,kilogram,cutoff38,,,,,
382,3f5b7d3ca44aeb306a426ef9cc29f45d,"market for hazardous waste, for incineration",RoW,-5.99939461204722e-05,kilogram,cutoff38,,,,,
383,3f6758369432dadc059f8eb4d11ad771,"market for hazardous waste, for incineration",RoW,-9.7e-07,kilogram,cutoff38,,,,,
384,3f850a95f06cd18306a0fa8b10f5aeff,"treatment of spent antifreezer liquid, hazardous waste incineration, with energy recovery",CH,-0.0042084427798375,kilogram,cutoff38,,,,,
385,3f850a95f06cd18306a0fa8b10f5aeff,"treatment of spent antifreezer liquid, hazardous waste incineration",CH,-0.0042084427798375,kilogram,cutoff38,,,,,
386,3f850a95f06cd18306a0fa8b10f5aeff,"treatment of spent antifreezer liquid, hazardous waste incineration, with energy recovery",RoW,-0.495791557220162,kilogram,cutoff38,,,,,
387,3f850a95f06cd18306a0fa8b10f5aeff,"treatment of spent antifreezer liquid, hazardous waste incineration",RoW,-0.495791557220162,kilogram,cutoff38,,,,,
388,3f9a24834a69bef57d300544e647809c,"market for hazardous waste, for incineration",Europe without Switzerland,-0.033138610199753,kilogram,cutoff38,,,,,
389,3fd36af3d5badcf0676c2082c6221c29,"market for hazardous waste, for incineration",Europe without Switzerland,-7.10493e-05,kilogram,cutoff38,,,,,
390,3fd36af3d5badcf0676c2082c6221c29,"market for hazardous waste, for incineration",CH,-1.85718579874229e-06,kilogram,cutoff38,,,,,
391,3fd36af3d5badcf0676c2082c6221c29,"market for hazardous waste, for incineration",RoW,-0.0001477435142012,kilogram,cutoff38,,,,,
392,3fe5661d05ce8534dbbf9402d3a10105,"treatment of waste graphical paper, municipal incineration with fly ash extraction",CH,-0.0155,kilogram,cutoff38,,,,,
393,3fec2478a904aee6e00fd28597736b11,"market for hazardous waste, for incineration",RoW,-1.0193220339e-06,kilogram,cutoff38,,,,,
394,3ff8ad5eea91c71c393768862258552a,"treatment of waste polyurethane, municipal incineration",RoW,-0.193370165745856,kilogram,cutoff38,,,,,
395,4015f6306ff0f5c8dd70586faf26f5e0,"treatment of waste wood, untreated, municipal incineration",RoW,-0.969427058257102,kilogram,cutoff38,,,,,
396,4060b1baf92853a07885921574e02713,"market for hazardous waste, for incineration",RoW,-0.0003212551879895,kilogram,cutoff38,,,,,
397,40881f3fa3597b739323cda18ecd66d9,"market for hazardous waste, for incineration",Europe without Switzerland,-2.31901213683749e-06,kilogram,cutoff38,,,,,
398,40881f3fa3597b739323cda18ecd66d9,"market for hazardous waste, for incineration",CH,-6.0617576916952e-08,kilogram,cutoff38,,,,,
399,4105c16f3b68640f603992f8b2227a78,"market for hazardous waste, for incineration",RoW,-0.009,kilogram,cutoff38,,,,,
400,417173402e3dfb6e8c0c36c9dfefb340,"market for hazardous waste, for incineration",RoW,-1.07328881334018e-05,kilogram,cutoff38,,,,,
401,4182af452e5e8bc1e33240c48fa77ceb,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0005330336271779,kilogram,cutoff38,,,,,
402,4182af452e5e8bc1e33240c48fa77ceb,"market for hazardous waste, for incineration",CH,-1.39331771410422e-05,kilogram,cutoff38,,,,,
403,4197644807bc31863444c8908a984e36,"market for hazardous waste, for incineration",RoW,-2.36373748609566e-06,kilogram,cutoff38,,,,,
404,41c1b0395d5859320b6459ccd16f9fad,"market for hazardous waste, for incineration",RoW,-0.0020952,kilogram,cutoff38,,,,,
405,41f4cefcded659382da062f757d9700b,"treatment of waste plastic, mixture, municipal incineration",RoW,-0.107643629912986,kilogram,cutoff38,,,,,
406,41fa92facbdb6beb2972262120bb99d8,"market for hazardous waste, for incineration",Europe without Switzerland,-3.96863629935395e-07,kilogram,cutoff38,,,,,
407,41fa92facbdb6beb2972262120bb99d8,"market for hazardous waste, for incineration",CH,-1.0373775639638e-08,kilogram,cutoff38,,,,,
408,424242e2f471d8175c7bd7909ab9508c,"market for hazardous waste, for incineration",Europe without Switzerland,-7.62205902954861e-06,kilogram,cutoff38,,,,,
409,424242e2f471d8175c7bd7909ab9508c,"market for hazardous waste, for incineration",CH,-1.99236020437261e-07,kilogram,cutoff38,,,,,
410,42ba9a71f020aef34613fd94501f2f13,"treatment of waste polyethylene, municipal incineration",RoW,-0.0042372881355932,kilogram,cutoff38,,,,,
411,42e06b437ca8f6cc972112b31653619f,"market for hazardous waste, for incineration",CH,-1.57286286068095e-05,kilogram,cutoff38,,,,,
412,42f98392faf40804a19c9b1e3ca4ecb1,"market for hazardous waste, for incineration",RoW,-0.0003076226659263,kilogram,cutoff38,,,,,
413,438c5e851b55ccad7ff60d6221df6fa4,"treatment of waste wood, untreated, municipal incineration",RoW,-0.100672959161898,kilogram,cutoff38,,,,,
414,43ad9b2aec8ab7bea4770fba3fa3d4cc,"market for hazardous waste, for incineration",RoW,-1.92307957566564e-07,kilogram,cutoff38,,,,,
415,4409c3ae43b6b6d55189a66ea2f5606e,"market for hazardous waste, for incineration",RoW,-0.000191,kilogram,cutoff38,,,,,
416,4438e012992ad9d532ef56afb48bbfc1,"treatment of waste paperboard, municipal incineration with fly ash extraction",CH,-0.015,kilogram,cutoff38,,,,,
417,4457bcde0bf7bec73b5c39a2a8720cfe,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0021466869006968,kilogram,cutoff38,,,,,
418,4457bcde0bf7bec73b5c39a2a8720cfe,"market for hazardous waste, for incineration",CH,-5.61130993031636e-05,kilogram,cutoff38,,,,,
419,44819077dac7bbb0c37c3ecbbeb37bdf,"treatment of biowaste, municipal incineration",GLO,-0.0027678929688326,kilogram,cutoff38,,,,,
420,44819077dac7bbb0c37c3ecbbeb37bdf,"treatment of waste mineral oil, hazardous waste incineration",RoW,-0.0004361919212835,kilogram,cutoff38,,,,,
421,44f7b3c3026fbbc53814a6697f7102f0,"market for hazardous waste, for incineration",RoW,-0.0003343471458536,kilogram,cutoff38,,,,,
422,45884187b351c0997b59bfd886abaa8e,"market for hazardous waste, for incineration",RoW,-0.0002964697995304,kilogram,cutoff38,,,,,
423,45d01976b24eaac087900c3d0af2f8fc,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
424,4694dd7f280d8945e257bce105667875,"treatment of waste polyvinylchloride, municipal incineration",RoW,-0.61512182868626,kilogram,cutoff38,,,,,
425,46bc9df4eb176fc5392f797570323399,"treatment of biowaste, municipal incineration",GLO,-0.0027678929688326,kilogram,cutoff38,,,,,
426,46bc9df4eb176fc5392f797570323399,"treatment of waste mineral oil, hazardous waste incineration",RoW,-0.0004361919212835,kilogram,cutoff38,,,,,
427,46f8a89bfd3ea168367a31f74d4e3da7,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
428,471969388a64804a33b6d8cdb01c4dff,"market for hazardous waste, for incineration",RoW,-0.000330682323141,kilogram,cutoff38,,,,,
429,475789a3a9a33a5f1a9fa7d7e4fbb7e7,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
430,475d376533492e7aa51540a4d2f2f0b4,"market for hazardous waste, for incineration",RoW,-4.72996103061763e-05,kilogram,cutoff38,,,,,
431,480679d41428dfccae56f2d7aecad789,"market for hazardous waste, for incineration",Europe without Switzerland,-9.15491923283622e-05,kilogram,cutoff38,,,,,
432,480679d41428dfccae56f2d7aecad789,"market for hazardous waste, for incineration",CH,-2.3930406053059e-06,kilogram,cutoff38,,,,,
433,480c0b4efa232ed8baa29aff033dbdd3,"market for hazardous waste, for incineration",RoW,-1.4e-06,kilogram,cutoff38,,,,,
434,481dbf94a112bb68031083f512be5e73,"treatment of waste plastic, mixture, municipal incineration",RoW,-0.670191344336828,kilogram,cutoff38,,,,,
435,48c65e37000052b9ae70254ff88f00f7,"treatment of waste paperboard, municipal incineration",RoW,-0.917668515874329,kilogram,cutoff38,,,,,
436,48d018696597250be91c573e455c13d7,"market for hazardous waste, for incineration",RoW,-3298687.87014037,kilogram,cutoff38,,,,,
437,48dbc182b70f416faa38a4497e8f7670,"market for hazardous waste, for incineration",CH,-0.0255629470402515,kilogram,cutoff38,,,,,
438,48dbc182b70f416faa38a4497e8f7670,"market for hazardous waste, for incineration",Europe without Switzerland,-0.977947114595059,kilogram,cutoff38,,,,,
439,48e39f62f0afb1290156880abcf27b46,"market for hazardous waste, for incineration",RoW,-0.000326600422404,kilogram,cutoff38,,,,,
440,4975a77069f900cf67090e4743445665,"treatment of waste glass, municipal incineration",RoW,-0.427746565109878,kilogram,cutoff38,,,,,
441,4a3117a32bed6ecdd1b9b176a52dcb90,"treatment of waste glass, municipal incineration",RoW,-0.0155584396588576,kilogram,cutoff38,,,,,
442,4a3536c33d1c061e9fb2a68116f7c676,"market for hazardous waste, for incineration",Europe without Switzerland,-1.61,kilogram,cutoff38,,,,,
443,4a3536c33d1c061e9fb2a68116f7c676,"market for hazardous waste, for incineration",CH,-0.042084427798375,kilogram,cutoff38,,,,,
444,4a3536c33d1c061e9fb2a68116f7c676,"market for hazardous waste, for incineration",RoW,-3.34791557220163,kilogram,cutoff38,,,,,
445,4a65dd3e70d6e9bb98dfdb5f04da1ae9,"market for hazardous waste, for incineration",CH,-0.0003328148685334,kilogram,cutoff38,,,,,
446,4a7cc50a9fd6453b1fd5ef01bff7b049,"treatment of waste polypropylene, municipal incineration",RoW,-0.61001052803803,kilogram,cutoff38,,,,,
447,4aa51c3d91b6657b06781acfc243e236,"treatment of waste graphical paper, municipal incineration",RoW,-0.0042372881355932,kilogram,cutoff38,,,,,
448,4aa662ac12d62e423bec3a118bedc57b,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
449,4ba27c89a038f14c03327fecbe9ab252,"treatment of biowaste, municipal incineration",GLO,-0.0078311351354344,kilogram,cutoff38,,,,,
450,4ba27c89a038f14c03327fecbe9ab252,"treatment of hazardous waste, hazardous waste incineration",Europe without Switzerland,-0.0001364917561263,kilogram,cutoff38,,,,,
451,4ba27c89a038f14c03327fecbe9ab252,"treatment of waste mineral oil, hazardous waste incineration",Europe without Switzerland,-3.38804932836221e-05,kilogram,cutoff38,,,,,
452,4bedd6f4e6776786f6e3d4a89f6af3be,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
453,4bf457db720c0faf81dd6ec5abee416d,"treatment of waste plastic, mixture, municipal incineration",RoW,-0.969427058257102,kilogram,cutoff38,,,,,
454,4c5528b9042e9e3f0d85cd9c542c2d72,"treatment of waste polypropylene, municipal incineration",RoW,-0.210673697208202,kilogram,cutoff38,,,,,
455,4c82967f6b77b4c8d11d1cee3606767b,"market for hazardous waste, for incineration",RoW,-0.0002943371744271,kilogram,cutoff38,,,,,
456,4cd01ad14a771bedcab21fcbc6c3b3e5,"treatment of spent solvent mixture, hazardous waste incineration, with energy recovery",RoW,-0.304329904593701,kilogram,cutoff38,,,,,
457,4cd01ad14a771bedcab21fcbc6c3b3e5,"treatment of spent solvent mixture, hazardous waste incineration",RoW,-0.304329904593701,kilogram,cutoff38,,,,,
458,4d07f6f87a697d0b37839087ef8ec71a,"market for hazardous waste, for incineration",RoW,-0.0003603564667171,kilogram,cutoff38,,,,,
459,4df2a40eef771a4e40ab5b64634d8d0f,"market for process-specific burdens, municipal waste incineration",Europe without Switzerland,2.14701703625887e-06,kilogram,cutoff38,,,,,
460,4df2a40eef771a4e40ab5b64634d8d0f,"market for process-specific burdens, municipal waste incineration",RoW,5.44298296374113e-06,kilogram,cutoff38,,,,,
461,4e4866f4c9a7d14b84a1004bea3e6845,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0007889,kilogram,cutoff38,,,,,
462,4e4866f4c9a7d14b84a1004bea3e6845,"market for hazardous waste, for incineration",CH,-2.06213696212037e-05,kilogram,cutoff38,,,,,
463,4e4866f4c9a7d14b84a1004bea3e6845,"market for hazardous waste, for incineration",RoW,-0.0016404786303788,kilogram,cutoff38,,,,,
464,4e641dcf784ac62b5d50862138f08b7e,"market for hazardous waste, for incineration",RoW,-0.0002626949941849,kilogram,cutoff38,,,,,
465,4e6bfe1f1612d41ea2e987d2d1ef904d,"market for hazardous waste, for incineration",RoW,-0.006993,kilogram,cutoff38,,,,,
466,4ee5088b73bd026ac9002ec43de11c73,"market for process-specific burdens, municipal waste incineration",Europe without Switzerland,4.32797900589733e-05,kilogram,cutoff38,,,,,
467,4f40ccfb90b1c0a2c682cc09db595f24,"treatment of waste polyethylene, municipal incineration",RoW,-0.667753859534681,kilogram,cutoff38,,,,,
468,4f52069ab3c1b540f834c7fe2faf0915,"treatment of waste mineral oil, hazardous waste incineration",RoW,-0.0001346741556926,kilogram,cutoff38,,,,,
469,4f74edcf0985fdb6b679490f7b0e2e84,"market for hazardous waste, for incineration",CH,-0.0003355731476235,kilogram,cutoff38,,,,,
470,4fb912dcc0e7743779feecf9d5b1aa93,"treatment of biowaste, municipal incineration",GLO,-0.0001962473595928,kilogram,cutoff38,,,,,
471,4febe05a626fff2b7efc05b680003480,"market for hazardous waste, for incineration",RoW,-0.000300797717721,kilogram,cutoff38,,,,,
472,4fed49c41e8de3a455517ad590b9c637,"treatment of waste plastic, mixture, municipal incineration",RoW,-0.000768036640492,kilogram,cutoff38,,,,,
473,50002cec36e85ca6bc4ebdc2d91e6d8a,"treatment of waste polystyrene, municipal incineration",RoW,-0.917668515874329,kilogram,cutoff38,,,,,
474,5072a885a8605d5f7a0e360358693273,"process-specific burdens, municipal waste incineration",CH,5.2756e-05,kilogram,cutoff38,,,,,
475,5072a885a8605d5f7a0e360358693273,"treatment of waste graphical paper, municipal incineration with fly ash extraction",CH,-0.0155,kilogram,cutoff38,,,,,
476,50b422207ec54b266283ab57e7080abb,"market for hazardous waste, for incineration",Europe without Switzerland,-7.61292396480813e-06,kilogram,cutoff38,,,,,
477,50c516dde278e86f0cf45229f0c686b5,"market for hazardous waste, for incineration",CH,-0.00127,kilogram,cutoff38,,,,,
478,518a78fc56863fded29ec8d05deaf949,"market for hazardous waste, for incineration",RoW,-0.036645,kilogram,cutoff38,,,,,
479,51bd80b3aa7ae461c933d029ceb7b446,"treatment of waste paperboard, municipal incineration",RoW,-0.427746565109878,kilogram,cutoff38,,,,,
480,51e1cc5abbffab26f194e4b29587e069,"treatment of waste wood, untreated, municipal incineration",RoW,-0.427746565109878,kilogram,cutoff38,,,,,
481,5277d8a528d03946ebfb53e12ab52ea5,"treatment of municipal solid waste, incineration",BG,-0.0539407,kilogram,cutoff38,,,,,
482,534883009a4bdd86ebf8c54601b95fca,"market for hazardous waste, for incineration",RoW,-1.34997420083335e-06,kilogram,cutoff38,,,,,
483,534c2fcde6c18053c8a25b87b09e08dc,"market for hazardous waste, for incineration",RoW,-4.30218272698105e-05,kilogram,cutoff38,,,,,
484,53a390967ec32d4a2c1627f6592076d4,"treatment of waste paperboard, municipal incineration",RoW,-0.0625465376023827,kilogram,cutoff38,,,,,
485,53de20d139bba7479707ffe9a06ceef3,"market for hazardous waste, for incineration",RoW,-0.0005790933820743,kilogram,cutoff38,,,,,
486,545038180d1f6e580f79fd3b60a06d88,"treatment of waste polyurethane, municipal incineration",RoW,-0.993763892319091,kilogram,cutoff38,,,,,
487,5453ff53b4a1f2e5ac0e243a7e54d7ab,"treatment of waste polyurethane, municipal incineration",RoW,-0.61001052803803,kilogram,cutoff38,,,,,
488,5479720a8bebb3102bf25a3621fa0f39,"treatment of waste polyethylene, municipal incineration",RoW,-0.193370165745856,kilogram,cutoff38,,,,,
489,547df24678cc5c337ecb7162be3f86e4,"treatment of waste paperboard, municipal incineration",RoW,-0.137212483251452,kilogram,cutoff38,,,,,
490,54c6bc66d4236406d24a64cddfc95b6c,"treatment of waste polyethylene, municipal incineration",RoW,-0.0052589035233702,kilogram,cutoff38,,,,,
491,54e468fd2d470b0a3b4d677780666b2e,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
492,556d146e07065a92061c19b8ec6a6c62,"treatment of waste graphical paper, municipal incineration",RoW,-0.987663173459344,kilogram,cutoff38,,,,,
493,5585abf45ee3204e15d418211b309f5f,"treatment of waste polyurethane, municipal incineration",RoW,-0.0392054053825304,kilogram,cutoff38,,,,,
494,5588939a5c1af57a3df862f9555a1fa6,"market for hazardous waste, for incineration",RoW,-23978.0,kilogram,cutoff38,,,,,
495,55907b8efc3bd9d3cdfa7f335e1419d5,"market for hazardous waste, for incineration",RoW,-9.7e-07,kilogram,cutoff38,,,,,
496,5689c253ba791bb9871d5544ff1f7a13,"process-specific burdens, municipal waste incineration",CH,8.26e-05,kilogram,cutoff38,,,,,
497,568e949dd02bcd063ffa9f47c41575ea,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0015270829732122,kilogram,cutoff38,,,,,
498,568e949dd02bcd063ffa9f47c41575ea,"market for hazardous waste, for incineration",CH,-3.99170267877508e-05,kilogram,cutoff38,,,,,
499,56a0b47e71dc4dc605e7ac1ef017048c,"market for hazardous waste, for incineration",RoW,-0.0001996339165111,kilogram,cutoff38,,,,,
500,571d9dfd1d09425f03891e1818f1a165,"market for hazardous waste, for incineration",RoW,-0.02573,kilogram,cutoff38,,,,,
501,57325cbf22dfccb3bbb36a9596a316f2,"market for hazardous waste, for incineration",RoW,-0.000253615547033,kilogram,cutoff38,,,,,
502,573631ff270bd47c7243ebe46ea6bf86,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
503,57940d86566f7133a1ed6bde13557e32,"market for hazardous waste, for incineration",CH,-0.0060231663133334,kilogram,cutoff38,,,,,
504,579776fbc9bd088271d83b524a4ce3e6,"market for hazardous waste, for incineration",CH,-4.0470570685163e-05,kilogram,cutoff38,,,,,
505,579776fbc9bd088271d83b524a4ce3e6,"market for hazardous waste, for incineration",RoW,-0.0032195294293148,kilogram,cutoff38,,,,,
506,57d16597ae1984ef030e28bbf55f89ba,"treatment of waste plastic, mixture, municipal incineration",RoW,-6.49282709287987e-06,kilogram,cutoff38,,,,,
507,57d16597ae1984ef030e28bbf55f89ba,"treatment of municipal solid waste, incineration",ES,-0.0861328256788745,kilogram,cutoff38,,,,,
508,57d16597ae1984ef030e28bbf55f89ba,"market for hazardous waste, for incineration",CH,-1.87984293004559e-05,kilogram,cutoff38,,,,,
509,57d16597ae1984ef030e28bbf55f89ba,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0007191608097592,kilogram,cutoff38,,,,,
510,57d16597ae1984ef030e28bbf55f89ba,"market for hazardous waste, for incineration",RoW,-0.0014954594247889,kilogram,cutoff38,,,,,
511,57d182a1fd215a430ef12804df9e051a,"market for hazardous waste, for incineration",RoW,-9.7e-07,kilogram,cutoff38,,,,,
512,57e5887a3d2244c281a30cab86a2024e,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0003066345833405,kilogram,cutoff38,,,,,
513,58419129ca49265c2bbf18444682cf42,"treatment of hazardous waste, hazardous waste incineration",RoW,-0.0001364917561263,kilogram,cutoff38,,,,,
514,58419129ca49265c2bbf18444682cf42,"treatment of biowaste, municipal incineration",GLO,-0.0078311351354344,kilogram,cutoff38,,,,,
515,58419129ca49265c2bbf18444682cf42,"treatment of waste mineral oil, hazardous waste incineration",RoW,-3.38804932836221e-05,kilogram,cutoff38,,,,,
516,5848180af4281f79875c5824f918f26e,"treatment of waste polyurethane, municipal incineration",RoW,-0.000768036640492,kilogram,cutoff38,,,,,
517,5865600ea7f678ed3ada6d55be22aae5,"treatment of waste polystyrene, municipal incineration",RoW,-0.193370165745856,kilogram,cutoff38,,,,,
518,58e1d85f5e22953dd3c6ec99cb62fe6b,"treatment of waste polyvinylchloride, municipal incineration",RoW,-0.000768036640492,kilogram,cutoff38,,,,,
519,591b9e58edacde5995894561a37c0e0a,"market for hazardous waste, for incineration",RoW,-0.23978,kilogram,cutoff38,,,,,
520,598a8a39a7e372f441d8c7778fa088ef,"treatment of waste polyethylene terephthalate, municipal incineration",RoW,-0.61512182868626,kilogram,cutoff38,,,,,
521,59a622057fdfacb45208016a0a776803,"market for hazardous waste, for incineration",RoW,-0.0003266000250223,kilogram,cutoff38,,,,,
522,59d53fa95cdcf355f6755f72c1f632e7,"treatment of waste emulsion paint, municipal incineration with fly ash extraction",CH,-0.262,kilogram,cutoff38,,,,,
523,59ded90d9288db0428c4ffa8054a8005,"treatment of waste polystyrene, municipal incineration",RoW,-0.256386189641601,kilogram,cutoff38,,,,,
524,5a1fee02078d4bdefb30ab77634913d7,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0019843307913559,kilogram,cutoff38,,,,,
525,5a1fee02078d4bdefb30ab77634913d7,"market for hazardous waste, for incineration",CH,-5.18692086440447e-05,kilogram,cutoff38,,,,,
526,5a234131eced8e8dcd9be95afa9187d8,"treatment of waste polypropylene, municipal incineration",RoW,-0.107643629912986,kilogram,cutoff38,,,,,
527,5a78e08f0871ce33d2e3feb1ba95ab1a,"treatment of waste graphical paper, municipal incineration",RoW,-0.670191344336828,kilogram,cutoff38,,,,,
528,5aa0c0f1c96b7cc410f2153a8ebfacdb,"market for hazardous waste, for incineration",RoW,-2.36373748609566e-06,kilogram,cutoff38,,,,,
529,5b0a2cb60171c12312bae13a2ca81e7d,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0068148635811571,kilogram,cutoff38,,,,,
530,5b0a2cb60171c12312bae13a2ca81e7d,"market for hazardous waste, for incineration",CH,-0.0001781364188428,kilogram,cutoff38,,,,,
531,5b9c01e65839b657702dc30489b33555,"treatment of waste polyethylene, municipal incineration",RoW,-0.441076934646913,kilogram,cutoff38,,,,,
532,5be70a1176f06366f9fbeb5ee6ae5007,"market for hazardous waste, for incineration",RoW,-0.0008510788605678,kilogram,cutoff38,,,,,
533,5bf34bd99d450e7a7deefe1a4f0f72ee,"market for process-specific burdens, municipal waste incineration",CH,6.5870171813147e-06,kilogram,cutoff38,,,,,
534,5c16625622f37f360b318397d2c08911,"treatment of waste polyethylene terephthalate, municipal incineration",RoW,-0.0056040232423687,kilogram,cutoff38,,,,,
535,5c314e83e90906b57894400dbc303cac,"treatment of municipal solid waste, incineration",PT,-0.29677,kilogram,cutoff38,,,,,
536,5c553353b6ef1b0295973d2733b38376,"treatment of waste polyethylene terephthalate, municipal incineration",RoW,-0.000768036640492,kilogram,cutoff38,,,,,
537,5c5e3589166ef79f75928fca6e557b08,"treatment of refinery sludge, hazardous waste incineration, with energy recovery",Europe without Switzerland,-0.444444444444444,kilogram,cutoff38,,,,,
538,5c5e3589166ef79f75928fca6e557b08,"treatment of refinery sludge, hazardous waste incineration",Europe without Switzerland,-0.444444444444444,kilogram,cutoff38,,,,,
539,5c690e9f7ca0e0e4aa3394e375382cf3,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0003227570536375,kilogram,cutoff38,,,,,
540,5c76aebfcece79295eaa575184c4b15f,"market for hazardous waste, for incineration",RoW,-8.73e-07,kilogram,cutoff38,,,,,
541,5cddef7e84ee7c4efdd666cfc714f220,"market for hazardous waste, for incineration",RoW,-0.004112887,kilogram,cutoff38,,,,,
542,5d1276d9d042cbc75d3ef43d4e1f368e,"treatment of waste polyvinylchloride, municipal incineration",RoW,-0.247338467815546,kilogram,cutoff38,,,,,
543,5d3258538ce284631e62bf9f61726081,"treatment of waste mineral oil, hazardous waste incineration, with energy recovery",CH,-0.436916590689578,kilogram,cutoff38,,,,,
544,5d3258538ce284631e62bf9f61726081,"treatment of waste mineral oil, hazardous waste incineration",CH,-0.436916590689578,kilogram,cutoff38,,,,,
