('03/14/2023, 12:42:54', ' ', 'cutoff39', 'waste_total_kilogram', 'additions', 26408, 'duration:', '0:07:15.837369')
('03/14/2023, 12:43:03', ' ', 'cutoff39', 'waste_open_burning_kilogram', 'additions', 516, 'duration:', '0:00:08.692879')
('03/14/2023, 12:44:07', ' ', 'cutoff39', 'waste_total_cubicmeter', 'additions', 3698, 'duration:', '0:01:04.298541')
('03/14/2023, 12:44:07', ' ', 'cutoff39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016343')
('03/14/2023, 12:44:07', ' ', 'cutoff39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.040742')
('03/14/2023, 12:44:08', ' ', 'cutoff39', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:00.737849')
('03/14/2023, 12:45:07', ' ', 'cutoff39', 'waste_non_hazardous_cubicmeter', 'additions', 3421, 'duration:', '0:00:58.652809')
('03/14/2023, 12:45:27', ' ', 'cutoff39', 'waste_landfill_kilogram', 'additions', 1251, 'duration:', '0:00:20.813391')
('03/14/2023, 12:45:27', ' ', 'cutoff39', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.017482')
('03/14/2023, 12:45:52', ' ', 'cutoff39', 'waste_hazardous_kilogram', 'additions', 1431, 'duration:', '0:00:24.213335')
('03/14/2023, 12:45:52', ' ', 'cutoff39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.150542')
('03/14/2023, 12:45:56', ' ', 'cutoff39', 'waste_radioactive_cubicmeter', 'additions', 277, 'duration:', '0:00:04.702715')
('03/14/2023, 12:53:00', ' ', 'cutoff39', 'waste_non_hazardous_kilogram', 'additions', 24977, 'duration:', '0:07:03.315745')
('03/14/2023, 12:53:04', ' ', 'cutoff39', 'waste_hazardous_cubicmeter', 'additions', 277, 'duration:', '0:00:04.678191')
('03/14/2023, 12:53:30', ' ', 'cutoff39', 'waste_incineration_kilogram', 'additions', 1443, 'duration:', '0:00:25.197947')
