('cutoff38', 'waste_hazardous_kilogram', 'additions', 1221, 'duration:', '0:00:35.423565')
('cutoff38', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.249990')
('cutoff38', 'waste_non-hazardous_kilogram', 'additions', 24080, 'duration:', '0:09:09.820696')
('cutoff38', 'waste_non-hazardous_cubicmeter', 'additions', 2585, 'duration:', '0:00:41.898244')
('cutoff38', 'waste_hazardous_cubicmeter', 'additions', 278, 'duration:', '0:00:04.529610')
('cutoff38', 'waste_incineration_kilogram', 'additions', 1408, 'duration:', '0:00:22.663016')
('cutoff38', 'waste_open-burning_kilogram', 'additions', 516, 'duration:', '0:00:08.415669')
('cutoff39', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.044056')
('cutoff35', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.073480')
('cutoff39', 'waste_total_kilogram', 'additions', 26408, 'duration:', '0:11:38.428550')
('cutoff39', 'waste_total_cubicmeter', 'additions', 3698, 'duration:', '0:02:02.523698')
('cutoff39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.027269')
('cutoff39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.084101')
('cutoff39', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:01.325220')
('cutoff39', 'waste_landfill_kilogram', 'additions', 1251, 'duration:', '0:00:41.232389')
('cutoff39', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.030019')
('cutoff39', 'waste_hazardous_kilogram', 'additions', 1431, 'duration:', '0:00:47.676549')
('cutoff39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.281131')
('cutoff35', 'waste_total_kilogram', 'additions', 21704, 'duration:', '0:12:07.130827')
('cutoff35', 'waste_total_cubicmeter', 'additions', 2161, 'duration:', '0:01:11.507657')
('cutoff35', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.033711')
('cutoff35', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.073028')
('cutoff35', 'waste_recycling_kilogram', 'additions', 40, 'duration:', '0:00:01.255254')
('cutoff35', 'waste_landfill_kilogram', 'additions', 885, 'duration:', '0:00:29.294301')
('cutoff35', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.034786')
('cutoff35', 'waste_hazardous_kilogram', 'additions', 695, 'duration:', '0:00:23.043674')
('cutoff35', 'waste_composting_kilogram', 'additions', 2, 'duration:', '0:00:00.068803')
('cutoff35', 'waste_non-hazardous_kilogram', 'additions', 21009, 'duration:', '0:11:36.656311')
('cutoff39', 'waste_non-hazardous_kilogram', 'additions', 24977, 'duration:', '0:13:49.702241')
('cutoff35', 'waste_non-hazardous_cubicmeter', 'additions', 1924, 'duration:', '0:01:04.217834')
('cutoff35', 'waste_hazardous_cubicmeter', 'additions', 237, 'duration:', '0:00:07.798498')
('cutoff35', 'waste_incineration_kilogram', 'additions', 1038, 'duration:', '0:00:34.467477')
('cutoff39', 'waste_non-hazardous_cubicmeter', 'additions', 3421, 'duration:', '0:01:54.108350')
('cutoff35', 'waste_open-burning_kilogram', 'additions', 512, 'duration:', '0:00:16.893436')
('cutoff39', 'waste_hazardous_cubicmeter', 'additions', 277, 'duration:', '0:00:08.590430')
('cutoff39', 'waste_incineration_kilogram', 'additions', 1443, 'duration:', '0:00:25.076397')
('cutoff39', 'waste_open-burning_kilogram', 'additions', 516, 'duration:', '0:00:08.234279')
('con35', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.038013')
('con38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.067698')
('con35', 'waste_total_kilogram', 'additions', 19321, 'duration:', '0:10:10.942462')
('con35', 'waste_total_cubicmeter', 'additions', 1865, 'duration:', '0:01:02.844815')
('con35', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.035948')
('con35', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.069852')
('con35', 'waste_recycling_kilogram', 'additions', 54, 'duration:', '0:00:01.730481')
('con35', 'waste_landfill_kilogram', 'additions', 899, 'duration:', '0:00:30.415400')
('con35', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.034491')
('con35', 'waste_hazardous_kilogram', 'additions', 581, 'duration:', '0:00:19.317671')
('con35', 'waste_composting_kilogram', 'additions', 2, 'duration:', '0:00:00.073419')
('con38', 'waste_total_kilogram', 'additions', 22006, 'duration:', '0:12:23.183635')
('con38', 'waste_total_cubicmeter', 'additions', 2359, 'duration:', '0:01:18.623496')
('con38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.030709')
('con38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.062567')
('con38', 'waste_recycling_kilogram', 'additions', 54, 'duration:', '0:00:01.861142')
('con38', 'waste_landfill_kilogram', 'additions', 1053, 'duration:', '0:00:34.717175')
('con38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.030862')
('con38', 'waste_hazardous_kilogram', 'additions', 949, 'duration:', '0:00:31.496721')
('con38', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.264317')
('con35', 'waste_non-hazardous_kilogram', 'additions', 18740, 'duration:', '0:10:25.062377')
('con35', 'waste_non-hazardous_cubicmeter', 'additions', 1590, 'duration:', '0:00:52.913535')
('con35', 'waste_hazardous_cubicmeter', 'additions', 275, 'duration:', '0:00:09.171638')
('con35', 'waste_incineration_kilogram', 'additions', 987, 'duration:', '0:00:33.055879')
('con35', 'waste_open-burning_kilogram', 'additions', 555, 'duration:', '0:00:18.373246')
('con38', 'waste_non-hazardous_kilogram', 'additions', 21057, 'duration:', '0:10:14.888908')
('con38', 'waste_non-hazardous_cubicmeter', 'additions', 2075, 'duration:', '0:00:33.816391')
('con38', 'waste_hazardous_cubicmeter', 'additions', 284, 'duration:', '0:00:04.658906')
('con38', 'waste_incineration_kilogram', 'additions', 1209, 'duration:', '0:00:20.110609')
('con38', 'waste_open-burning_kilogram', 'additions', 559, 'duration:', '0:00:09.471423')
('con39', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.044854')
('con39', 'waste_total_kilogram', 'additions', 23386, 'duration:', '0:07:14.950616')
('con39', 'waste_total_cubicmeter', 'additions', 3058, 'duration:', '0:01:29.795365')
('con39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.033487')
('con39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.053141')
('con39', 'waste_recycling_kilogram', 'additions', 57, 'duration:', '0:00:01.742611')
('con39', 'waste_landfill_kilogram', 'additions', 1152, 'duration:', '0:00:33.121741')
('con39', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016761')
('con39', 'waste_hazardous_kilogram', 'additions', 1133, 'duration:', '0:00:32.909189')
('con39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.243834')
('con39', 'waste_non-hazardous_kilogram', 'additions', 22253, 'duration:', '0:06:54.378196')
('con39', 'waste_non-hazardous_cubicmeter', 'additions', 2763, 'duration:', '0:00:44.697997')
('con39', 'waste_hazardous_cubicmeter', 'additions', 295, 'duration:', '0:00:04.727497')
('con39', 'waste_incineration_kilogram', 'additions', 1218, 'duration:', '0:00:19.868002')
('con39', 'waste_open-burning_kilogram', 'additions', 559, 'duration:', '0:00:09.093904')
('apos38', 'waste_total_kilogram', 'additions', 89322, 'duration:', '0:24:29.125097')
('apos38', 'waste_total_cubicmeter', 'additions', 6316, 'duration:', '0:01:42.710668')
('apos38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016188')
('apos38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.030724')
('apos38', 'waste_recycling_kilogram', 'additions', 268, 'duration:', '0:00:04.303736')
('apos38', 'waste_landfill_kilogram', 'additions', 2135, 'duration:', '0:00:34.674586')
('apos38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.015284')
('apos38', 'waste_hazardous_kilogram', 'additions', 2783, 'duration:', '0:00:45.265637')
('apos38', 'waste_composting_kilogram', 'additions', 4, 'duration:', '0:00:00.061535')
('apos38', 'waste_non-hazardous_kilogram', 'additions', 86539, 'duration:', '0:26:32.090454')
('apos38', 'waste_non-hazardous_cubicmeter', 'additions', 5629, 'duration:', '0:01:34.180361')
('apos38', 'waste_hazardous_cubicmeter', 'additions', 687, 'duration:', '0:00:11.468870')
('apos38', 'waste_incineration_kilogram', 'additions', 2766, 'duration:', '0:00:46.107503')
('apos38', 'waste_open-burning_kilogram', 'additions', 555, 'duration:', '0:00:09.041628')
('cutoff35', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.044188')
('cutoff38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.038608')
('cutoff35', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.046740')
('cutoff35', 'waste_total_kilogram', 'additions', 21704, 'duration:', '0:06:10.923839')
('cutoff35', 'waste_open_burning_kilogram', 'additions', 512, 'duration:', '0:00:09.069211')
('cutoff35', 'waste_total_cubicmeter', 'additions', 2161, 'duration:', '0:00:36.629488')
('cutoff35', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.022672')
('cutoff35', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.033120')
('cutoff35', 'waste_recycling_kilogram', 'additions', 40, 'duration:', '0:00:00.677214')
('cutoff35', 'waste_non_hazardous_cubicmeter', 'additions', 1924, 'duration:', '0:00:32.366350')
('cutoff35', 'waste_landfill_kilogram', 'additions', 885, 'duration:', '0:00:14.947218')
('cutoff35', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.015362')
('cutoff35', 'waste_hazardous_kilogram', 'additions', 695, 'duration:', '0:00:11.447943')
('cutoff35', 'waste_composting_kilogram', 'additions', 2, 'duration:', '0:00:00.039557')
('cutoff35', 'waste_radioactive_cubicmeter', 'additions', 237, 'duration:', '0:00:04.052567')
('cutoff35', 'waste_non_hazardous_kilogram', 'additions', 21009, 'duration:', '0:05:57.681278')
('cutoff35', 'waste_non-hazardous_kilogram', 'additions', 21009, 'duration:', '0:05:59.922000')
('cutoff35', 'waste_non-hazardous_cubicmeter', 'additions', 1924, 'duration:', '0:00:32.410106')
('cutoff35', 'waste_hazardous_cubicmeter', 'additions', 237, 'duration:', '0:00:03.928595')
('cutoff35', 'waste_incineration_kilogram', 'additions', 1038, 'duration:', '0:00:17.625050')
('cutoff35', 'waste_open-burning_kilogram', 'additions', 512, 'duration:', '0:00:08.432746')
('cutoff38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.055257')
('cutoff38', 'waste_total_kilogram', 'additions', 25301, 'duration:', '0:07:11.114070')
('cutoff38', 'waste_open_burning_kilogram', 'additions', 516, 'duration:', '0:00:08.574862')
('cutoff38', 'waste_total_cubicmeter', 'additions', 2863, 'duration:', '0:00:48.320354')
('cutoff38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016443')
('cutoff38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.033071')
('cutoff38', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:00.704355')
('cutoff38', 'waste_non_hazardous_cubicmeter', 'additions', 2585, 'duration:', '0:00:43.924857')
('cutoff38', 'waste_landfill_kilogram', 'additions', 1132, 'duration:', '0:00:19.039057')
('cutoff38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016015')
('cutoff38', 'waste_hazardous_kilogram', 'additions', 1221, 'duration:', '0:00:20.563295')
('cutoff38', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.136534')
('cutoff38', 'waste_radioactive_cubicmeter', 'additions', 278, 'duration:', '0:00:04.765279')
('cutoff38', 'waste_non_hazardous_kilogram', 'additions', 24080, 'duration:', '0:06:47.361493')
('cutoff38', 'waste_non-hazardous_kilogram', 'additions', 24080, 'duration:', '0:06:52.624905')
('cutoff38', 'waste_non-hazardous_cubicmeter', 'additions', 2585, 'duration:', '0:00:43.631886')
('cutoff38', 'waste_hazardous_cubicmeter', 'additions', 278, 'duration:', '0:00:04.639334')
('cutoff38', 'waste_incineration_kilogram', 'additions', 1408, 'duration:', '0:00:23.513344')
('cutoff38', 'waste_open-burning_kilogram', 'additions', 516, 'duration:', '0:00:08.725536')
('cutoff39', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.052681')
('cutoff39', 'waste_total_kilogram', 'additions', 26408, 'duration:', '0:07:42.505429')
('cutoff39', 'waste_open_burning_kilogram', 'additions', 516, 'duration:', '0:00:08.892321')
('cutoff39', 'waste_total_cubicmeter', 'additions', 3698, 'duration:', '0:01:03.148445')
('cutoff39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016545')
('cutoff39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.033053')
('cutoff39', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:00.693850')
('cutoff39', 'waste_non_hazardous_cubicmeter', 'additions', 3421, 'duration:', '0:00:58.193135')
('cutoff39', 'waste_landfill_kilogram', 'additions', 1251, 'duration:', '0:00:20.869135')
('cutoff39', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.017816')
('cutoff39', 'waste_hazardous_kilogram', 'additions', 1431, 'duration:', '0:00:24.159706')
('cutoff39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.127316')
('cutoff39', 'waste_radioactive_cubicmeter', 'additions', 277, 'duration:', '0:00:04.547772')
('cutoff39', 'waste_non_hazardous_kilogram', 'additions', 24977, 'duration:', '0:07:04.111371')
('cutoff39', 'waste_non-hazardous_kilogram', 'additions', 24977, 'duration:', '0:07:03.380341')
('cutoff39', 'waste_non-hazardous_cubicmeter', 'additions', 3421, 'duration:', '0:00:59.024594')
('cutoff39', 'waste_hazardous_cubicmeter', 'additions', 277, 'duration:', '0:00:04.751030')
('cutoff39', 'waste_incineration_kilogram', 'additions', 1443, 'duration:', '0:00:24.966987')
('cutoff39', 'waste_open-burning_kilogram', 'additions', 516, 'duration:', '0:00:08.935562')
('con35', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.038531')
('con35', 'waste_total_kilogram', 'additions', 19321, 'duration:', '0:05:28.603709')
('con35', 'waste_open_burning_kilogram', 'additions', 555, 'duration:', '0:00:09.281344')
('con35', 'waste_total_cubicmeter', 'additions', 1865, 'duration:', '0:00:31.461718')
('con35', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016343')
('con35', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.032138')
('con35', 'waste_recycling_kilogram', 'additions', 54, 'duration:', '0:00:00.912377')
('con35', 'waste_non_hazardous_cubicmeter', 'additions', 1590, 'duration:', '0:00:26.571353')
('con35', 'waste_landfill_kilogram', 'additions', 899, 'duration:', '0:00:15.298221')
('con35', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016461')
('con35', 'waste_hazardous_kilogram', 'additions', 581, 'duration:', '0:00:09.516485')
('con35', 'waste_composting_kilogram', 'additions', 2, 'duration:', '0:00:00.031011')
('con35', 'waste_radioactive_cubicmeter', 'additions', 275, 'duration:', '0:00:04.566050')
('con35', 'waste_non_hazardous_kilogram', 'additions', 18740, 'duration:', '0:05:16.266270')
('con35', 'waste_non-hazardous_kilogram', 'additions', 18740, 'duration:', '0:05:17.219396')
('con35', 'waste_non-hazardous_cubicmeter', 'additions', 1590, 'duration:', '0:00:27.345689')
('con35', 'waste_hazardous_cubicmeter', 'additions', 275, 'duration:', '0:00:04.737899')
('con35', 'waste_incineration_kilogram', 'additions', 987, 'duration:', '0:00:16.201706')
('con35', 'waste_open-burning_kilogram', 'additions', 555, 'duration:', '0:00:09.368727')
('con38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.040156')
('con38', 'waste_total_kilogram', 'additions', 22006, 'duration:', '0:06:12.300457')
('con38', 'waste_open_burning_kilogram', 'additions', 559, 'duration:', '0:00:09.460392')
('con38', 'waste_total_cubicmeter', 'additions', 2359, 'duration:', '0:00:40.123683')
('con38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.015882')
('con38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.032603')
('con38', 'waste_recycling_kilogram', 'additions', 54, 'duration:', '0:00:00.941611')
('con38', 'waste_non_hazardous_cubicmeter', 'additions', 2075, 'duration:', '0:00:35.219573')
('con38', 'waste_landfill_kilogram', 'additions', 1053, 'duration:', '0:00:17.806598')
('con38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016638')
('con38', 'waste_hazardous_kilogram', 'additions', 949, 'duration:', '0:00:15.967753')
('con38', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.123212')
('con38', 'waste_radioactive_cubicmeter', 'additions', 284, 'duration:', '0:00:04.738118')
('con38', 'waste_non_hazardous_kilogram', 'additions', 21057, 'duration:', '0:06:01.806484')
('con38', 'waste_non-hazardous_kilogram', 'additions', 21057, 'duration:', '0:05:56.015858')
('con38', 'waste_non-hazardous_cubicmeter', 'additions', 2075, 'duration:', '0:00:34.855215')
('con38', 'waste_hazardous_cubicmeter', 'additions', 284, 'duration:', '0:00:04.843007')
('con38', 'waste_incineration_kilogram', 'additions', 1209, 'duration:', '0:00:20.554485')
('con38', 'waste_open-burning_kilogram', 'additions', 559, 'duration:', '0:00:09.300955')
('con39', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.047167')
('con39', 'waste_total_kilogram', 'additions', 23386, 'duration:', '0:06:35.936179')
('con39', 'waste_open_burning_kilogram', 'additions', 559, 'duration:', '0:00:09.555756')
('con39', 'waste_total_cubicmeter', 'additions', 3058, 'duration:', '0:00:51.218797')
('con39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.021444')
('con39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.032586')
('con39', 'waste_recycling_kilogram', 'additions', 57, 'duration:', '0:00:00.999865')
('con39', 'waste_non_hazardous_cubicmeter', 'additions', 2763, 'duration:', '0:00:46.442192')
('con39', 'waste_landfill_kilogram', 'additions', 1152, 'duration:', '0:00:19.143089')
('con39', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.022322')
('con39', 'waste_hazardous_kilogram', 'additions', 1133, 'duration:', '0:00:19.010087')
('con39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.138437')
('con39', 'waste_radioactive_cubicmeter', 'additions', 295, 'duration:', '0:00:05.015871')
('con39', 'waste_non_hazardous_kilogram', 'additions', 22253, 'duration:', '0:06:12.499616')
('con39', 'waste_non-hazardous_kilogram', 'additions', 22253, 'duration:', '0:06:12.570221')
('con39', 'waste_non-hazardous_cubicmeter', 'additions', 2763, 'duration:', '0:00:46.378128')
('con39', 'waste_hazardous_cubicmeter', 'additions', 295, 'duration:', '0:00:04.846936')
('con39', 'waste_incineration_kilogram', 'additions', 1218, 'duration:', '0:00:20.545069')
('con39', 'waste_open-burning_kilogram', 'additions', 559, 'duration:', '0:00:09.533056')
('apos35', 'waste_total_kilogram', 'additions', 74245, 'duration:', '0:20:53.134676')
('apos35', 'waste_open_burning_kilogram', 'additions', 555, 'duration:', '0:00:09.462032')
('apos35', 'waste_total_cubicmeter', 'additions', 4646, 'duration:', '0:01:17.977683')
('apos35', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.015966')
('apos35', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.031633')
('apos35', 'waste_recycling_kilogram', 'additions', 200, 'duration:', '0:00:03.348107')
('apos35', 'waste_non_hazardous_cubicmeter', 'additions', 4081, 'duration:', '0:01:09.064453')
('apos35', 'waste_landfill_kilogram', 'additions', 1444, 'duration:', '0:00:24.186837')
('apos35', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.025352')
('apos35', 'waste_hazardous_kilogram', 'additions', 1583, 'duration:', '0:00:27.032241')
('apos35', 'waste_composting_kilogram', 'additions', 2, 'duration:', '0:00:00.032053')
('apos35', 'waste_radioactive_cubicmeter', 'additions', 565, 'duration:', '0:00:09.474529')
('apos35', 'waste_non_hazardous_kilogram', 'additions', 72662, 'duration:', '0:20:21.947297')
('apos35', 'waste_hazardous_cubicmeter', 'additions', 565, 'duration:', '0:00:09.671070')
('apos35', 'waste_incineration_kilogram', 'additions', 1810, 'duration:', '0:00:30.437874')
('apos38', 'waste_total_kilogram', 'additions', 89322, 'duration:', '0:25:15.055333')
('apos38', 'waste_open_burning_kilogram', 'additions', 555, 'duration:', '0:00:09.138199')
('apos38', 'waste_total_cubicmeter', 'additions', 6316, 'duration:', '0:01:46.114204')
('apos38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.017073')
('apos38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.033355')
