;ex_code;ex_name;ex_loc;ex_amount;ex_unit;db_name;category
3132;1a148e5277d73feda0bb7a293999f07d;market for coating from waste cathode ray tube display;RoW;-0.0049255848621095;kilogram;cutoff38;non
3462;1bfda2d364a92bceab67fdd5e4e4ba45;treatment of waste polyurethane, open dump, hyperarid infiltration class (-250mm);GLO;-0.0241530148866973;kilogram;cutoff38;non
3850;1fc560d7ff212f4c5176b042b3bc5ba0;treatment of waste plastic plaster, collection for final disposal;CH;-0.82;kilogram;cutoff38;non
3851;1fc560d7ff212f4c5176b042b3bc5ba0;treatment of waste plastic plaster, sorting plant;CH;-0.18;kilogram;cutoff38;non
3976;20e0f23c77e33c78da03e02ecdc31267;treatment of waste polystyrene, open dump, hyperarid infiltration class (-250mm);GLO;-0.0241530148866973;kilogram;cutoff38;non
4050;22103e4913a418513c4b0fa256bdf3d9;treatment of slaughterhouse waste, rendering;RoW;-0.99831679389313;kilogram;cutoff38;non
6281;35f8c93dd4d5c7da1cc1f542a0c812dc;treatment of waste, electrical and electronic cables, open burning;RoW;-0.9;kilogram;cutoff38;non
6381;3735848df52fa430113ad35a6b4c6f40;treatment of municipal solid waste, open dump, hyperarid infiltration class (-250mm);GLO;-0.0196344977267085;kilogram;cutoff38;non
6383;3735848df52fa430113ad35a6b4c6f40;treatment of municipal solid waste, open dump, very wet infiltration class (1000mm);GLO;-0.0319643984297913;kilogram;cutoff38;non
6784;3cf79ca3543885a98b1f3da3501c5340;treatment of waste emulsion paint on wood, collection for final disposal;RoW;-0.999692065146341;kilogram;cutoff38;non
6962;3f5425ab2407edf6bb0a0d6a214b091d;treatment of waste paint on metal, collection for final disposal;RoW;-0.826790664695358;kilogram;cutoff38;non
7009;3f7e8eef5df09dbdb2426a0515c3343f;treatment of waste gypsum plasterboard, collection for final disposal;CH;-0.41;kilogram;cutoff38;non
7010;3f7e8eef5df09dbdb2426a0515c3343f;treatment of waste gypsum plasterboard, recycling;CH;-0.41;kilogram;cutoff38;non
7011;3f7e8eef5df09dbdb2426a0515c3343f;treatment of waste gypsum plasterboard, sorting plant;CH;-0.18;kilogram;cutoff38;non
7086;4073c4886078a0c5f3ffb9796d36143c;market for slaughterhouse waste;GLO;-0.0538461323432408;kilogram;cutoff38;non
7209;41f4cefcded659382da062f757d9700b;treatment of waste plastic, mixture, open dump, hyperarid infiltration class (-250mm);GLO;-0.0241530148866973;kilogram;cutoff38;non
7327;438c5e851b55ccad7ff60d6221df6fa4;treatment of waste wood, untreated, open dump, hyperarid infiltration class (-250mm);GLO;-0.0219802370389025;kilogram;cutoff38;non
8107;50002cec36e85ca6bc4ebdc2d91e6d8a;treatment of waste polystyrene, open dump, very wet infiltration class (1000mm);GLO;-0.0095291561611696;kilogram;cutoff38;non
8449;540b96b014f98697a449ba2dc08ed3a8;treatment of waste emulsion paint on wall, collection for final disposal;RoW;-0.81806411622;kilogram;cutoff38;non
8450;540b96b014f98697a449ba2dc08ed3a8;treatment of waste emulsion paint on wall, sorting plant;RoW;-0.173518997780001;kilogram;cutoff38;non
8466;543b59e258fa996a0997436b540b61ed;treatment of waste paint on wall, collection for final disposal;RoW;-0.818064116321274;kilogram;cutoff38;non
8467;543b59e258fa996a0997436b540b61ed;treatment of waste paint on wall, sorting plant;RoW;-0.173518998119048;kilogram;cutoff38;non
8916;5818b9ad4c504660ebd8416dc222bf68;treatment of drilling waste, landfarming;RoW;-0.6;kilogram;cutoff38;non
9057;5a234131eced8e8dcd9be95afa9187d8;treatment of waste polypropylene, open dump, hyperarid infiltration class (-250mm);GLO;-0.0241530148866973;kilogram;cutoff38;non
9059;5a234131eced8e8dcd9be95afa9187d8;treatment of waste polypropylene, open dump, very wet infiltration class (1000mm);GLO;-0.0581108636290239;kilogram;cutoff38;non
9443;5edd37e0d2a74a1de58316c1284db8af;waste packaging glass, unsorted, Recycled Content cut-off;GLO;-0.21;kilogram;cutoff38;non
9911;6491827976b1b1cd686ee321444ddd5c;treatment of waste paperboard, open dump, hyperarid infiltration class (-250mm);GLO;-0.0183630644692003;kilogram;cutoff38;non
9913;6491827976b1b1cd686ee321444ddd5c;treatment of waste paperboard, open dump, very wet infiltration class (1000mm);GLO;-0.0306443440211472;kilogram;cutoff38;non
10207;6921b9ac3e0c35288326c9a81aaceb1b;treatment of waste graphical paper, open dump, hyperarid infiltration class (-250mm);GLO;-0.0183630644692003;kilogram;cutoff38;non
10483;6b72b028734f410c47c64e2de47af694;treatment of waste plastic, mixture, open dump, very wet infiltration class (1000mm);GLO;-0.0095291561611696;kilogram;cutoff38;non
11301;7497f823bc05208bec6753b7f46745b8;treatment of waste graphical paper, open dump, very wet infiltration class (1000mm);GLO;-0.0095291561611696;kilogram;cutoff38;non
12165;7d2928a8580835e5d9a1d57f32927503;treatment of waste polystyrene, open dump, moist infiltration class (300mm);GLO;-0.0832381279944318;kilogram;cutoff38;non
12639;8157306a8c9cad524acce050550767c7;fibre and fabric waste, polyester, Recycled Content cut-off;GLO;-0.035;kilogram;cutoff38;non
12924;84c67ea83b4ffd096f57d002bb48b879;treatment of waste mineral plaster, collection for final disposal;CH;-0.5;kilogram;cutoff38;non
12925;84c67ea83b4ffd096f57d002bb48b879;treatment of waste mineral plaster, sorting plant;CH;-0.5;kilogram;cutoff38;non
12946;851f2a956633761633f002ed207c56c2;treatment of waste wood, untreated, open dump, very wet infiltration class (1000mm);GLO;-0.0095291561611696;kilogram;cutoff38;non
13776;8dd2e20d0e16384c051637817ef928d4;treatment of waste glass, open dump, hyperarid infiltration class (-250mm);GLO;-0.0208443807352204;kilogram;cutoff38;non
13778;8dd2e20d0e16384c051637817ef928d4;treatment of waste glass, open dump, very wet infiltration class (1000mm);GLO;-0.0391565077900618;kilogram;cutoff38;non
14720;99d6869c1d0764792ab471f0c450a7b0;treatment of waste glass pane in burnable frame, collection for final disposal;RoW;-0.82;kilogram;cutoff38;non
