;ex_code;ex_name;ex_loc;ex_amount;ex_unit;db_name;category
0;d475161633515814a64bb4656a681c4b;treatment of wastewater from anaerobic digestion of whey, capacity 1E9l/year;CH;-0.008416885559675;cubic meter;cutoff38;digestion
0;0023f5f85b5567e723373b9b55f06231;market for waste mineral oil;Europe without Switzerland;-0.0037277165659084;kilogram;cutoff38;total
2;00261f83396d8f308a21fd70912c7749;market for municipal solid waste;RoW;-2.65233604904747e-06;kilogram;cutoff38;total
4;003ba30e1374a6ea2cfed3594df32399;market for hazardous waste, for incineration;Europe without Switzerland;-7.10493e-05;kilogram;cutoff38;total
7;003ba30e1374a6ea2cfed3594df32399;market group for waste plastic, mixture;RER;-0.0001751257659607;kilogram;cutoff38;total
8;003ba30e1374a6ea2cfed3594df32399;market for waste plastic, mixture;CO;-1.35011672026916e-05;kilogram;cutoff38;total
16;003c670e8f081fb347ee8d8f3c8129a2;market for waste paperboard;BR;-0.0026013859462043;kilogram;cutoff38;total
30;003e9fe97c02a141ff61fcd3832474f1;market for waste electric wiring;RoW;-2.69;kilogram;cutoff38;total
33;00659af8369d6e9d63e62b23af53937e;market for waste paint;RoW;-4.88e-06;kilogram;cutoff38;total
38;00659af8369d6e9d63e62b23af53937e;market for waste graphical paper;BR;-2.54305304444565e-08;kilogram;cutoff38;total
46;007754b50dde156e004c5fd54215a327;market for waste cement, hydrated;Europe without Switzerland;-0.07563;kilogram;cutoff38;total
47;0077f3c9d936e519c55394c6fbefc117;market for waste electric and electronic equipment;GLO;-1.2e-05;kilogram;cutoff38;total
90;0077f3c9d936e519c55394c6fbefc117;market for waste polyvinylchloride;AL;-4.47653220949156e-05;kilogram;cutoff38;total
132;0077f3c9d936e519c55394c6fbefc117;market for waste concrete;CH;-8.92229427677425e-05;kilogram;cutoff38;total
134;00794e1c598e03cbfc0b7ccbe5c3eda1;market for biowaste;CH;-0.0010476498191401;kilogram;cutoff38;total
137;0099519c238ee9ca640793a9453e2a80;market for hazardous waste, for underground deposit;RER;-4.84146375141819e-05;kilogram;cutoff38;total
138;0099519c238ee9ca640793a9453e2a80;market for waste gypsum;Europe without Switzerland;-0.0002282047153308;kilogram;cutoff38;total
141;00b5afd0f7b65f12b5aef095beacbc00;market for inert waste;Europe without Switzerland;-0.0515438446648079;kilogram;cutoff38;total
152;00bf4a131fe813b618563c23d4936ece;market for waste rubber, unspecified;CH;-0.0013899536697078;kilogram;cutoff38;total
164;00fb99880d5770dd866be66beea71231;market for inert waste, for final disposal;CH;-0.0062228;kilogram;cutoff38;total
174;013ec7396cb7d1101f8e8530f105838e;market group for municipal solid waste;RER;-0.0059687180461507;kilogram;cutoff38;total
179;0154bb3dd38a473ddd03fd51be4fff17;market for drilling waste;RoW;-466.0;kilogram;cutoff38;total
202;0159e86fd6c97baba15e382423bf133f;market for waste polyethylene/polypropylene product;Europe without Switzerland;-0.0571406378556379;kilogram;cutoff38;total
210;0159e86fd6c97baba15e382423bf133f;market group for waste polyvinylchloride;Europe without Switzerland;-0.201888287918487;kilogram;cutoff38;total
212;016e8d5d5bd5cfaea5d47cacfcd6a4d4;market for waste emulsion paint;RoW;-753.0;kilogram;cutoff38;total
220;016e8d5d5bd5cfaea5d47cacfcd6a4d4;market for waste wood, untreated;BR;-50.7224888525449;kilogram;cutoff38;total
229;0172fa29a2d8ddea6820422b3de41f43;market for waste reinforced concrete;RoW;-0.014210233592881;kilogram;cutoff38;total
232;0172fa29a2d8ddea6820422b3de41f43;waste paper, unsorted, Recycled Content cut-off;GLO;-1.16796440489433e-05;kilogram;cutoff38;total
233;019e77cde8ca26b12989b8daf8d291f6;market group for waste paperboard;RER;-0.0003;kilogram;cutoff38;total
234;019e77cde8ca26b12989b8daf8d291f6;market group for waste polyethylene terephthalate;RER;-0.013;kilogram;cutoff38;total
241;019ff2c327f8aa272ab8a33fa280f164;market for waste polyethylene;BR;-1.48962029938646;kilogram;cutoff38;total
246;019ff2c327f8aa272ab8a33fa280f164;market group for waste polyethylene;RER;-1.29102820563035;kilogram;cutoff38;total
248;019ff2c327f8aa272ab8a33fa280f164;market for waste glass;BR;-7269.5334517317;kilogram;cutoff38;total
253;019ff2c327f8aa272ab8a33fa280f164;market group for waste glass;RER;-13808.6809883951;kilogram;cutoff38;total
255;019ff2c327f8aa272ab8a33fa280f164;market for waste reinforcement steel;CH;-1403.41685477232;kilogram;cutoff38;total
257;019ff2c327f8aa272ab8a33fa280f164;market for waste mineral wool;CH;-1172.84880821385;kilogram;cutoff38;total
261;019ff2c327f8aa272ab8a33fa280f164;market for waste polystyrene;BR;-0.662053466393984;kilogram;cutoff38;total
266;019ff2c327f8aa272ab8a33fa280f164;market group for waste polystyrene;RER;-0.573790313613488;kilogram;cutoff38;total
275;01c01db15e517248d3d0c7cc5194baad;market for waste textile, soiled;CH;-4.59164234916811e-09;kilogram;cutoff38;total
367;023d1017a397b1d3922bd344b926347f;market for waste concrete, not reinforced;CH;-2.62;kilogram;cutoff38;total
368;023d1017a397b1d3922bd344b926347f;market for waste brick;CH;-12.2;kilogram;cutoff38;total
369;023d1017a397b1d3922bd344b926347f;market for waste building wood, chrome preserved;CH;-6.3;kilogram;cutoff38;total
370;023d1017a397b1d3922bd344b926347f;market for waste bulk iron, excluding reinforcement;CH;-3.39;kilogram;cutoff38;total
372;023d1017a397b1d3922bd344b926347f;market for waste fibreboard;CH;-2.6;kilogram;cutoff38;total
482;0263d170f4fcf69de72c498d3a37e327;market for waste polystyrene isolation, flame-retardant;Europe without Switzerland;-5.37461445176792;kilogram;cutoff38;total
484;0263d170f4fcf69de72c498d3a37e327;market for waste mineral wool, for final disposal;Europe without Switzerland;-19.3834848828221;kilogram;cutoff38;total
491;028450378bffa1dd6bf6f30e057365a6;treatment of waste polyethylene, municipal incineration;RoW;-0.0052589035233702;kilogram;cutoff38;total
500;02a95310ea4bec3bf95cdaa81c9e4800;market for waste glass pane in burnable frame;RoW;-22222.990147542;kilogram;cutoff38;total
532;02cafa104b7d571e41cae2c3d5eee2ae;market for waste polyethylene terephthalate;BR;-0.0003072243658061;kilogram;cutoff38;total
565;03095f6c8cd8929b0eb246ed71bf56ef;treatment of waste polyethylene terephthalate, open burning;GLO;-0.0860011568767784;kilogram;cutoff38;total
566;03095f6c8cd8929b0eb246ed71bf56ef;treatment of waste polyethylene terephthalate, open dump, dry infiltration class (100mm);GLO;-0.304972657817088;kilogram;cutoff38;total
567;03095f6c8cd8929b0eb246ed71bf56ef;treatment of waste polyethylene terephthalate, unsanitary landfill, dry infiltration class (100mm);GLO;-0.609026185306133;kilogram;cutoff38;total
631;03529782c344a8e500b29d6c8494aa8f;waste packaging paper, Recycled Content cut-off;GLO;-7.50586583381078e-05;kilogram;cutoff38;total
648;038c04cdaa88786cc69aa8ba30dca659;waste paperboard, sorted, Recycled Content cut-off;GLO;-2.31042006933292;kilogram;cutoff38;total
670;03e1c24090fb6d8f7bff42d31fc52955;market for waste aluminium;GLO;-626.975;kilogram;cutoff38;total
671;03e1c24090fb6d8f7bff42d31fc52955;market for waste glass sheet;Europe without Switzerland;-24.462842270944;kilogram;cutoff38;total
680;03e1c24090fb6d8f7bff42d31fc52955;market group for waste polypropylene;RER;-97.7482877558103;kilogram;cutoff38;total
681;03e1c24090fb6d8f7bff42d31fc52955;market for waste polypropylene;CO;-7.53581844183697;kilogram;cutoff38;total
725;042cd03ec2b3ae7ebf96e19297db1f0f;market for waste polyurethane foam;CH;-0.0390640789439169;kilogram;cutoff38;total
770;0469a53a3ca49a5efa816a1c255b3c5c;treatment of waste graphical paper, municipal incineration;RoW;-0.256386189641601;kilogram;cutoff38;total
771;0469a53a3ca49a5efa816a1c255b3c5c;treatment of waste graphical paper, open burning;GLO;-0.0409099500836998;kilogram;cutoff38;total
772;0469a53a3ca49a5efa816a1c255b3c5c;treatment of waste graphical paper, open dump, dry infiltration class (100mm);GLO;-0.230392332129037;kilogram;cutoff38;total
773;0469a53a3ca49a5efa816a1c255b3c5c;treatment of waste graphical paper, sanitary landfill;RoW;-0.326208124785213;kilogram;cutoff38;total
774;0469a53a3ca49a5efa816a1c255b3c5c;treatment of waste graphical paper, unsanitary landfill, dry infiltration class (100mm);GLO;-0.146103403360449;kilogram;cutoff38;total
780;0474008e4a615f978fbe005645187eff;market group for waste wood, untreated;RER;-3.77733261413755e-05;kilogram;cutoff38;total
837;04bd14dd92feda9563cca355b97e38c6;treatment of waste wood, untreated, municipal incineration;RoW;-0.0155584396588576;kilogram;cutoff38;total
838;04bd14dd92feda9563cca355b97e38c6;treatment of waste wood, untreated, open burning;GLO;-0.113764292129076;kilogram;cutoff38;total
839;04bd14dd92feda9563cca355b97e38c6;treatment of waste wood, untreated, open dump, dry infiltration class (100mm);GLO;-0.624023574577714;kilogram;cutoff38;total
840;04bd14dd92feda9563cca355b97e38c6;treatment of waste wood, untreated, sanitary landfill;RoW;-0.0080179887435868;kilogram;cutoff38;total
841;04bd14dd92feda9563cca355b97e38c6;treatment of waste wood, untreated, unsanitary landfill, dry infiltration class (100mm);GLO;-0.238635704890765;kilogram;cutoff38;total
849;04ff8064a1b0d5f326eb2f09146c4e1d;treatment of waste paperboard, municipal incineration;RoW;-0.648037776664191;kilogram;cutoff38;total
850;04ff8064a1b0d5f326eb2f09146c4e1d;treatment of waste paperboard, open burning;GLO;-0.0036909231342292;kilogram;cutoff38;total
851;04ff8064a1b0d5f326eb2f09146c4e1d;treatment of waste paperboard, sanitary landfill;RoW;-0.34827130020158;kilogram;cutoff38;total
856;0535d913705131e713c8618f92b9b1c3;market for waste expanded polystyrene;RoW;-0.26;kilogram;cutoff38;total
866;0538b42a56d355efd426265947270fb2;treatment of spent solvent mixture, hazardous waste incineration, with energy recovery;CH;-0.423355686513581;kilogram;cutoff38;total
867;0538b42a56d355efd426265947270fb2;treatment of spent solvent mixture, hazardous waste incineration;CH;-0.423355686513581;kilogram;cutoff38;total
878;05403b2b033e66cc3790372a795fbd74;market for waste polyurethane;BR;-3.55973948062425;kilogram;cutoff38;total
