('waste_digestion_cubicmeter', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.032325')
('waste_total_kilogram', 'additions', 23466, 'skipped', 0, 'duration:', '0:04:28.255875')
('waste_total_cubicmeter', 'additions', 3093, 'skipped', 0, 'duration:', '0:00:35.030906')
('waste_digestion_kilogram', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.027082')
('waste_incineration_cubicmeter', 'additions', 1, 'skipped', 0, 'duration:', '0:00:00.011068')
('waste_hazardous_kilogram', 'additions', 1138, 'skipped', 0, 'duration:', '0:00:12.842568')
('waste_dumped_kilogram', 'additions', 1152, 'skipped', 0, 'duration:', '0:00:13.017578')
('waste_compost_kilogram', 'additions', 8, 'skipped', 0, 'duration:', '0:00:00.091974')
('waste_non-hazardous_kilogram', 'additions', 22328, 'skipped', 0, 'duration:', '0:04:13.519054')
('waste_non-hazardous_cubicmeter', 'additions', 2766, 'skipped', 0, 'duration:', '0:00:31.412523')
('waste_hazardous_cubicmeter', 'additions', 327, 'skipped', 0, 'duration:', '0:00:03.739694')
('waste_incineration_kilogram', 'additions', 1242, 'skipped', 0, 'duration:', '0:00:14.163838')
('waste_recycled_kilogram', 'additions', 57, 'skipped', 0, 'duration:', '0:00:00.620800')
('waste_open-burning_kilogram', 'additions', 593, 'skipped', 0, 'duration:', '0:00:06.682794')
