221208-0127 SEARCH COMPLETED.  NAME: waste_non-hazardous_cubic meter, Search parameters: AND=['waste'] OR=[''] NOT=['hazard', 'radioactiv'] UNIT=cubic meter CODE=waste_non-hazardous_cubicmeter RESULTS=2585 SEARCH TIME=0:00:15.083565
221208-0127 SEARCH COMPLETED.  NAME: waste_incineration_kilogram, Search parameters: AND=['waste', 'inciner'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_incineration_kilogram RESULTS=1435 SEARCH TIME=0:00:15.212944
221208-0127 SEARCH COMPLETED.  NAME: waste_incineration_cubic meter, Search parameters: AND=['waste', 'inciner'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_incineration_cubicmeter RESULTS=1 SEARCH TIME=0:00:15.033397
221208-0128 SEARCH COMPLETED.  NAME: waste_open-burning_kilogram, Search parameters: AND=['waste', 'burn'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_open-burning_kilogram RESULTS=548 SEARCH TIME=0:00:14.720245
221208-0128 SEARCH COMPLETED.  NAME: waste_open-burning_cubic meter, Search parameters: AND=['waste', 'burn'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_open-burning_cubicmeter RESULTS=0 SEARCH TIME=0:00:14.930037
221208-0128 SEARCH COMPLETED.  NAME: waste_recycled_kilogram, Search parameters: AND=['waste', 'recycl'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_recycled_kilogram RESULTS=42 SEARCH TIME=0:00:14.856656
221208-0128 SEARCH COMPLETED.  NAME: waste_recycled_cubic meter, Search parameters: AND=['waste', 'recycl'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_recycled_cubicmeter RESULTS=0 SEARCH TIME=0:00:14.868855
221208-0129 SEARCH COMPLETED.  NAME: waste_dumped_kilogram, Search parameters: AND=['waste'] OR=['landfill', 'opendump', 'underground deposit'] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_dumped_kilogram RESULTS=1132 SEARCH TIME=0:00:15.377317
221208-0129 SEARCH COMPLETED.  NAME: waste_dumped_cubic meter, Search parameters: AND=['waste'] OR=['landfill', 'opendump', 'underground deposit'] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_dumped_cubicmeter RESULTS=0 SEARCH TIME=0:00:15.131338
221208-0129 SEARCH COMPLETED.  NAME: waste_compost_kilogram, Search parameters: AND=['waste', 'compost'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_compost_kilogram RESULTS=8 SEARCH TIME=0:00:14.601766
221208-0129 SEARCH COMPLETED.  NAME: waste_compost_cubic meter, Search parameters: AND=['waste', 'compost'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_compost_cubicmeter RESULTS=0 SEARCH TIME=0:00:15.174111
221208-0130 SEARCH COMPLETED.  NAME: waste_total_kilogram, Search parameters: AND=['waste'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_total_kilogram RESULTS=25343 SEARCH TIME=0:00:15.816427
221208-0130 SEARCH COMPLETED.  NAME: waste_total_cubic meter, Search parameters: AND=['waste'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_total_cubicmeter RESULTS=2969 SEARCH TIME=0:00:15.797727
